council_district,census_tract
3,009700
25,028300
42,105801
45,078000
20,120100
21,038100
22,011700
19,101700
34,048500
26,018101
30,066501
24,077908
29,013400
28,018600
31,071600
51,017009
23,129104
27,052600
6,016500
9,022600
7,021100
35,030500
8,
17,008900
40,079400
39,015100
43,026600
48,059000
38,008600
1,001501
2,004001
16,019700
32,
46,070201
18,004200
50,018100
4,010000
5,013203
49,012500
33,054900
36,026700
10,027900
11,043503
44,044800
47,028000
12,035800
13,027600
37,056100
41,090000
14,025300
15,039100
